,ID,Demographic,Value,Joining Date
79,626975,Date of Birth,10/4/1948,2023-01-27
80,626975,Account Type,Basic,2023-01-27
81,721471,Ethnicity,Other,2023-01-31
82,721471,Date of Birth,8/17/1985,2023-01-31
83,721471,Account Type,Platinum,2023-01-31
84,349505,Ethnicity,White,2023-01-03
85,349505,Date of Birth,9/13/1961,2023-01-03
86,349505,Account Type,Basic,2023-01-03
87,806648,Ethnicity,Other,2023-01-29
88,806648,Date of Birth,8/20/1986,2023-01-29
89,806648,Account Type,Platinum,2023-01-29
90,602662,Ethnicity,Other,2023-01-09
91,602662,Date of Birth,3/7/1958,2023-01-09
92,602662,Account Type,Basic,2023-01-09
93,472457,Ethnicity,Black,2023-01-19
94,472457,Date of Birth,1/30/1991,2023-01-19
95,472457,Account Type,Gold,2023-01-19
96,591154,Ethnicity,Black,2023-01-23
97,591154,Date of Birth,12/1/2002,2023-01-23
98,591154,Account Type,Basic,2023-01-23
99,899966,Ethnicity,White,2023-01-05
100,899966,Date of Birth,2/13/2015,2023-01-05
101,899966,Account Type,Gold,2023-01-05
102,761244,Ethnicity,White,2023-01-02
103,761244,Date of Birth,12/26/1942,2023-01-02
104,761244,Account Type,Platinum,2023-01-02
105,276875,Ethnicity,Black,2023-01-14
106,276875,Date of Birth,8/27/1989,2023-01-14
107,276875,Account Type,Gold,2023-01-14
108,223982,Ethnicity,White,2023-01-04
109,223982,Date of Birth,8/12/1956,2023-01-04
110,223982,Account Type,Gold,2023-01-04
111,777515,Ethnicity,White,2023-01-31
112,777515,Date of Birth,4/3/1989,2023-01-31
113,777515,Account Type,Basic,2023-01-31
114,611859,Ethnicity,Other,2023-01-18
115,611859,Date of Birth,12/2/1977,2023-01-18
116,611859,Account Type,Platinum,2023-01-18
117,139746,Ethnicity,Black,2023-01-19
118,139746,Date of Birth,2/27/1948,2023-01-19
119,139746,Account Type,Gold,2023-01-19
120,189787,Ethnicity,Black,2023-01-20
121,189787,Date of Birth,5/12/1986,2023-01-20
122,189787,Account Type,Basic,2023-01-20
123,580145,Ethnicity,Asian,2023-01-13
124,580145,Date of Birth,11/14/2015,2023-01-13
125,580145,Account Type,Basic,2023-01-13
126,754791,Ethnicity,Other,2023-01-03
127,754791,Date of Birth,7/17/1952,2023-01-03
128,754791,Account Type,Basic,2023-01-03
129,809513,Ethnicity,Black,2023-01-06
130,809513,Date of Birth,1/1/1951,2023-01-06
131,809513,Account Type,Basic,2023-01-06
132,596604,Ethnicity,Asian,2023-01-17
133,596604,Date of Birth,4/29/2000,2023-01-17
134,596604,Account Type,Gold,2023-01-17
135,691378,Ethnicity,Other,2023-01-27
136,691378,Date of Birth,12/7/1979,2023-01-27
137,691378,Account Type,Basic,2023-01-27
138,483606,Ethnicity,Other,2023-01-14
139,483606,Date of Birth,7/3/1941,2023-01-14
140,483606,Account Type,Platinum,2023-01-14
141,673141,Ethnicity,White,2023-01-19
142,673141,Date of Birth,12/30/1955,2023-01-19
143,673141,Account Type,Gold,2023-01-19
144,547679,Ethnicity,White,2023-01-11
145,547679,Date of Birth,2/7/1949,2023-01-11
146,547679,Account Type,Basic,2023-01-11
147,850402,Ethnicity,Other,2023-01-23
148,850402,Date of Birth,9/17/1991,2023-01-23
149,850402,Account Type,Gold,2023-01-23
150,427577,Ethnicity,Asian,2023-01-10
151,427577,Date of Birth,1/6/1971,2023-01-10
152,427577,Account Type,Basic,2023-01-10
153,755120,Ethnicity,Other,2023-01-12
154,755120,Date of Birth,7/6/1984,2023-01-12
155,755120,Account Type,Platinum,2023-01-12
156,806747,Ethnicity,Other,2023-01-05
157,806747,Date of Birth,5/31/2007,2023-01-05
158,806747,Account Type,Basic,2023-01-05
159,801438,Ethnicity,Asian,2023-01-31
160,801438,Date of Birth,6/20/1950,2023-01-31
161,801438,Account Type,Basic,2023-01-31
162,960368,Ethnicity,Asian,2023-01-26
163,960368,Date of Birth,9/5/1997,2023-01-26
164,960368,Account Type,Platinum,2023-01-26
165,673358,Ethnicity,Other,2023-01-12
166,673358,Date of Birth,1/14/2014,2023-01-12
167,673358,Account Type,Platinum,2023-01-12
168,306487,Ethnicity,Black,2023-01-14
169,306487,Date of Birth,6/26/1970,2023-01-14
170,306487,Account Type,Basic,2023-01-14
171,467914,Ethnicity,Asian,2023-01-25
172,467914,Date of Birth,2/25/1990,2023-01-25
173,467914,Account Type,Gold,2023-01-25
174,155713,Ethnicity,White,2023-01-12
175,155713,Date of Birth,7/3/2009,2023-01-12
176,155713,Account Type,Platinum,2023-01-12
177,596558,Ethnicity,Black,2023-01-17
178,596558,Date of Birth,3/22/1951,2023-01-17
179,596558,Account Type,Gold,2023-01-17
180,888481,Ethnicity,Other,2023-01-11
181,888481,Date of Birth,10/14/2017,2023-01-11
182,888481,Account Type,Basic,2023-01-11
183,785116,Ethnicity,White,2023-01-24
184,785116,Date of Birth,11/25/1957,2023-01-24
185,785116,Account Type,Gold,2023-01-24
186,102704,Ethnicity,Black,2023-01-23
187,102704,Date of Birth,3/9/2000,2023-01-23
188,102704,Account Type,Basic,2023-01-23
189,714800,Ethnicity,Asian,2023-01-26
190,714800,Date of Birth,6/25/1974,2023-01-26
191,714800,Account Type,Basic,2023-01-26
192,311919,Ethnicity,Other,2023-01-04
193,311919,Date of Birth,6/26/1961,2023-01-04
194,311919,Account Type,Gold,2023-01-04
195,806735,Ethnicity,Asian,2023-01-11
196,806735,Date of Birth,4/15/1945,2023-01-11
197,806735,Account Type,Platinum,2023-01-11
198,711747,Ethnicity,White,2023-01-30
199,711747,Date of Birth,9/28/1940,2023-01-30
200,711747,Account Type,Gold,2023-01-30
201,920752,Ethnicity,White,2023-01-04
202,920752,Date of Birth,9/1/1990,2023-01-04
203,920752,Account Type,Gold,2023-01-04
204,888532,Ethnicity,White,2023-01-17
205,888532,Date of Birth,1/11/2013,2023-01-17
206,888532,Account Type,Gold,2023-01-17
207,177159,Ethnicity,White,2023-01-11
208,177159,Date of Birth,11/10/1953,2023-01-11
209,177159,Account Type,Basic,2023-01-11
210,845293,Ethnicity,Black,2023-01-02
211,845293,Date of Birth,5/28/1946,2023-01-02
212,845293,Account Type,Platinum,2023-01-02
213,994611,Ethnicity,Black,2023-01-10
214,994611,Date of Birth,6/19/1994,2023-01-10
215,994611,Account Type,Basic,2023-01-10
216,554004,Ethnicity,Asian,2023-01-27
217,554004,Date of Birth,7/20/1997,2023-01-27
218,554004,Account Type,Gold,2023-01-27
219,933040,Ethnicity,Asian,2023-01-16
220,933040,Date of Birth,12/12/1991,2023-01-16
221,933040,Account Type,Gold,2023-01-16
222,929308,Ethnicity,Other,2023-01-05
223,929308,Date of Birth,10/19/2004,2023-01-05
224,929308,Account Type,Basic,2023-01-05
225,314042,Ethnicity,Asian,2023-01-05
226,314042,Date of Birth,12/26/1986,2023-01-05
227,314042,Account Type,Platinum,2023-01-05
228,829199,Ethnicity,Other,2023-01-05
229,829199,Date of Birth,1/25/1978,2023-01-05
230,829199,Account Type,Basic,2023-01-05
231,731003,Ethnicity,White,2023-01-13
232,731003,Date of Birth,9/16/1941,2023-01-13
233,731003,Account Type,Platinum,2023-01-13
234,176024,Ethnicity,Other,2023-01-14
235,176024,Date of Birth,12/26/1999,2023-01-14
236,176024,Account Type,Gold,2023-01-14
237,943375,Ethnicity,Other,2023-01-24
238,943375,Date of Birth,7/26/1958,2023-01-24
239,943375,Account Type,Platinum,2023-01-24
240,813344,Ethnicity,White,2023-01-20
241,813344,Date of Birth,11/4/1966,2023-01-20
242,813344,Account Type,Gold,2023-01-20
243,840464,Ethnicity,Asian,2023-01-06
244,840464,Date of Birth,7/18/1968,2023-01-06
245,840464,Account Type,Gold,2023-01-06
246,674869,Ethnicity,Asian,2023-01-13
247,674869,Date of Birth,6/6/1991,2023-01-13
248,674869,Account Type,Platinum,2023-01-13
0,473692,Ethnicity,White,2023-02-20
1,473692,Date of Birth,3/23/2012,2023-02-20
2,473692,Account Type,Basic,2023-02-20
3,150853,Ethnicity,Other,2023-02-05
4,150853,Date of Birth,7/9/1991,2023-02-05
5,150853,Account Type,Basic,2023-02-05
6,627428,Ethnicity,White,2023-02-01
7,627428,Date of Birth,11/5/2018,2023-02-01
8,627428,Account Type,Platinum,2023-02-01
9,606864,Ethnicity,Other,2023-02-08
10,606864,Date of Birth,10/5/1945,2023-02-08
11,606864,Account Type,Platinum,2023-02-08
12,664634,Ethnicity,Black,2023-02-06
13,664634,Date of Birth,3/5/1952,2023-02-06
14,664634,Account Type,Basic,2023-02-06
15,315439,Ethnicity,White,2023-02-09
16,315439,Date of Birth,5/23/1999,2023-02-09
17,315439,Account Type,Basic,2023-02-09
18,712911,Ethnicity,Other,2023-02-18
19,712911,Date of Birth,6/5/1943,2023-02-18
20,712911,Account Type,Gold,2023-02-18
21,478020,Ethnicity,Black,2023-02-27
22,478020,Date of Birth,5/16/1987,2023-02-27
23,478020,Account Type,Gold,2023-02-27
24,366334,Ethnicity,Other,2023-02-05
25,366334,Date of Birth,10/15/1996,2023-02-05
26,366334,Account Type,Platinum,2023-02-05
27,978930,Ethnicity,Asian,2023-02-25
28,978930,Date of Birth,3/27/2016,2023-02-25
29,978930,Account Type,Basic,2023-02-25
30,898177,Ethnicity,Asian,2023-02-28
31,898177,Date of Birth,10/13/1975,2023-02-28
32,898177,Account Type,Platinum,2023-02-28
33,938610,Ethnicity,Other,2023-02-14
34,938610,Date of Birth,11/18/2006,2023-02-14
35,938610,Account Type,Platinum,2023-02-14
36,624601,Ethnicity,Other,2023-02-18
37,624601,Date of Birth,4/20/1991,2023-02-18
38,624601,Account Type,Gold,2023-02-18
39,900910,Ethnicity,White,2023-02-27
40,900910,Date of Birth,9/21/1967,2023-02-27
41,900910,Account Type,Gold,2023-02-27
42,303669,Ethnicity,Black,2023-02-18
43,303669,Date of Birth,1/3/2016,2023-02-18
44,303669,Account Type,Basic,2023-02-18
45,995456,Ethnicity,Other,2023-02-17
46,995456,Date of Birth,3/5/1975,2023-02-17
47,995456,Account Type,Basic,2023-02-17
48,598787,Ethnicity,Other,2023-02-01
49,598787,Date of Birth,9/11/1962,2023-02-01
50,598787,Account Type,Basic,2023-02-01
51,239484,Ethnicity,Other,2023-02-06
52,239484,Date of Birth,5/1/1999,2023-02-06
53,239484,Account Type,Gold,2023-02-06
54,188081,Ethnicity,Other,2023-02-26
55,188081,Date of Birth,5/29/1969,2023-02-26
56,188081,Account Type,Basic,2023-02-26
57,828504,Ethnicity,Other,2023-02-10
58,828504,Date of Birth,9/21/2013,2023-02-10
59,828504,Account Type,Basic,2023-02-10
60,150648,Ethnicity,Black,2023-02-02
61,150648,Date of Birth,6/4/1950,2023-02-02
62,150648,Account Type,Basic,2023-02-02
63,263796,Ethnicity,White,2023-02-24
64,263796,Date of Birth,2/10/1952,2023-02-24
65,263796,Account Type,Gold,2023-02-24
66,662810,Ethnicity,Asian,2023-02-25
67,662810,Date of Birth,12/11/1994,2023-02-25
68,662810,Account Type,Gold,2023-02-25
69,988008,Ethnicity,Asian,2023-02-06
70,988008,Date of Birth,7/9/1971,2023-02-06
71,988008,Account Type,Gold,2023-02-06
72,126580,Ethnicity,Black,2023-02-07
73,126580,Date of Birth,7/17/1945,2023-02-07
74,126580,Account Type,Platinum,2023-02-07
75,307769,Ethnicity,White,2023-02-16
76,307769,Date of Birth,7/26/1981,2023-02-16
77,307769,Account Type,Gold,2023-02-16
78,890043,Ethnicity,White,2023-02-08
79,890043,Date of Birth,5/24/2010,2023-02-08
80,890043,Account Type,Basic,2023-02-08
81,866947,Ethnicity,Other,2023-02-02
82,866947,Date of Birth,4/11/1949,2023-02-02
83,866947,Account Type,Gold,2023-02-02
84,200988,Ethnicity,Asian,2023-02-24
85,200988,Date of Birth,10/8/1969,2023-02-24
86,200988,Account Type,Platinum,2023-02-24
87,667559,Ethnicity,Other,2023-02-14
88,667559,Date of Birth,5/16/1985,2023-02-14
89,667559,Account Type,Basic,2023-02-14
90,862571,Ethnicity,Black,2023-02-07
91,862571,Date of Birth,3/10/1962,2023-02-07
92,862571,Account Type,Gold,2023-02-07
93,448076,Ethnicity,White,2023-02-20
94,448076,Date of Birth,10/7/1995,2023-02-20
95,448076,Account Type,Platinum,2023-02-20
96,993967,Ethnicity,Asian,2023-02-15
97,993967,Date of Birth,2/23/1951,2023-02-15
98,993967,Account Type,Platinum,2023-02-15
99,748205,Ethnicity,Asian,2023-02-05
100,748205,Date of Birth,6/19/2002,2023-02-05
101,748205,Account Type,Gold,2023-02-05
102,582245,Ethnicity,Other,2023-02-20
103,582245,Date of Birth,2/17/2012,2023-02-20
104,582245,Account Type,Platinum,2023-02-20
105,429112,Ethnicity,Black,2023-02-08
106,429112,Date of Birth,11/20/1993,2023-02-08
107,429112,Account Type,Basic,2023-02-08
108,528281,Ethnicity,Black,2023-02-22
109,528281,Date of Birth,12/22/2009,2023-02-22
110,528281,Account Type,Basic,2023-02-22
111,698182,Ethnicity,Asian,2023-02-20
112,698182,Date of Birth,12/28/1960,2023-02-20
113,698182,Account Type,Gold,2023-02-20
114,141574,Ethnicity,Other,2023-02-09
115,141574,Date of Birth,12/18/2012,2023-02-09
116,141574,Account Type,Platinum,2023-02-09
117,253467,Ethnicity,Asian,2023-02-05
118,253467,Date of Birth,7/29/1984,2023-02-05
119,253467,Account Type,Basic,2023-02-05
120,290840,Ethnicity,Asian,2023-02-14
121,290840,Date of Birth,8/3/2001,2023-02-14
122,290840,Account Type,Gold,2023-02-14
123,313159,Ethnicity,White,2023-02-27
124,313159,Date of Birth,9/23/2008,2023-02-27
125,313159,Account Type,Platinum,2023-02-27
126,771442,Ethnicity,White,2023-02-22
127,771442,Date of Birth,5/7/1974,2023-02-22
128,771442,Account Type,Basic,2023-02-22
129,305931,Ethnicity,Other,2023-02-09
130,305931,Date of Birth,10/1/2011,2023-02-09
131,305931,Account Type,Platinum,2023-02-09
132,399130,Ethnicity,Asian,2023-02-28
133,399130,Date of Birth,7/4/1958,2023-02-28
134,399130,Account Type,Basic,2023-02-28
135,867729,Ethnicity,Black,2023-02-03
136,867729,Date of Birth,4/24/1957,2023-02-03
137,867729,Account Type,Basic,2023-02-03
138,236432,Ethnicity,White,2023-02-20
139,236432,Date of Birth,10/13/1957,2023-02-20
140,236432,Account Type,Basic,2023-02-20
141,633342,Ethnicity,Asian,2023-02-08
142,633342,Date of Birth,3/25/1972,2023-02-08
143,633342,Account Type,Basic,2023-02-08
144,940601,Ethnicity,Other,2023-02-09
145,940601,Date of Birth,8/4/2011,2023-02-09
146,940601,Account Type,Platinum,2023-02-09
147,203783,Ethnicity,Black,2023-02-24
148,203783,Date of Birth,7/10/1975,2023-02-24
149,203783,Account Type,Platinum,2023-02-24
150,371550,Ethnicity,Black,2023-02-02
151,371550,Date of Birth,8/20/2004,2023-02-02
152,371550,Account Type,Basic,2023-02-02
153,742364,Ethnicity,Black,2023-02-02
154,742364,Date of Birth,9/9/1978,2023-02-02
155,742364,Account Type,Gold,2023-02-02
156,149442,Ethnicity,Other,2023-02-23
157,149442,Date of Birth,6/10/1952,2023-02-23
158,149442,Account Type,Gold,2023-02-23
159,134738,Ethnicity,Asian,2023-02-04
160,134738,Date of Birth,4/21/1992,2023-02-04
161,134738,Account Type,Basic,2023-02-04
162,804513,Ethnicity,Asian,2023-02-25
163,804513,Date of Birth,5/12/1974,2023-02-25
164,804513,Account Type,Gold,2023-02-25
165,747974,Ethnicity,Asian,2023-02-10
166,747974,Date of Birth,8/14/1966,2023-02-10
167,747974,Account Type,Gold,2023-02-10
168,435231,Ethnicity,Black,2023-02-11
169,435231,Date of Birth,1/2/2012,2023-02-11
170,435231,Account Type,Gold,2023-02-11
171,440691,Ethnicity,White,2023-02-16
172,440691,Date of Birth,7/2/2013,2023-02-16
173,440691,Account Type,Basic,2023-02-16
174,639573,Ethnicity,Other,2023-02-03
175,639573,Date of Birth,10/7/1943,2023-02-03
176,639573,Account Type,Gold,2023-02-03
177,793000,Ethnicity,Asian,2023-02-12
178,793000,Date of Birth,4/29/1951,2023-02-12
179,793000,Account Type,Basic,2023-02-12
180,418614,Ethnicity,White,2023-02-22
181,418614,Date of Birth,11/17/2013,2023-02-22
182,418614,Account Type,Gold,2023-02-22
183,829902,Ethnicity,Other,2023-02-11
184,829902,Date of Birth,4/14/1968,2023-02-11
185,829902,Account Type,Platinum,2023-02-11
186,533119,Ethnicity,White,2023-02-17
187,533119,Date of Birth,1/25/1960,2023-02-17
188,533119,Account Type,Platinum,2023-02-17
189,287391,Ethnicity,Other,2023-02-06
190,287391,Date of Birth,11/25/1954,2023-02-06
191,287391,Account Type,Platinum,2023-02-06
192,913984,Ethnicity,White,2023-02-15
193,913984,Date of Birth,9/6/2008,2023-02-15
194,913984,Account Type,Platinum,2023-02-15
195,336949,Ethnicity,White,2023-02-27
196,336949,Date of Birth,12/20/1976,2023-02-27
197,336949,Account Type,Platinum,2023-02-27
198,523380,Ethnicity,Asian,2023-02-21
199,523380,Date of Birth,12/23/1994,2023-02-21
200,523380,Account Type,Platinum,2023-02-21
201,645286,Ethnicity,Other,2023-02-15
202,645286,Date of Birth,5/7/2006,2023-02-15
203,645286,Account Type,Basic,2023-02-15
204,426503,Ethnicity,Other,2023-02-26
205,426503,Date of Birth,9/3/2009,2023-02-26
206,426503,Account Type,Platinum,2023-02-26
207,322646,Ethnicity,Asian,2023-02-27
208,322646,Date of Birth,2/24/1956,2023-02-27
209,322646,Account Type,Basic,2023-02-27
210,430823,Ethnicity,White,2023-02-27
211,430823,Date of Birth,11/22/1986,2023-02-27
212,430823,Account Type,Gold,2023-02-27
213,905817,Ethnicity,Other,2023-02-17
214,905817,Date of Birth,4/24/1969,2023-02-17
215,905817,Account Type,Gold,2023-02-17
216,978249,Ethnicity,Asian,2023-02-20
217,978249,Date of Birth,7/9/1944,2023-02-20
218,978249,Account Type,Platinum,2023-02-20
219,863998,Ethnicity,Asian,2023-02-24
220,863998,Date of Birth,11/23/2006,2023-02-24
221,863998,Account Type,Platinum,2023-02-24
222,535172,Ethnicity,Asian,2023-02-18
223,535172,Date of Birth,12/23/1964,2023-02-18
224,535172,Account Type,Basic,2023-02-18
225,884641,Ethnicity,Other,2023-02-12
226,884641,Date of Birth,2/20/1970,2023-02-12
227,884641,Account Type,Basic,2023-02-12
228,695485,Ethnicity,White,2023-02-12
229,695485,Date of Birth,11/26/1954,2023-02-12
230,695485,Account Type,Gold,2023-02-12
231,583851,Ethnicity,Other,2023-02-16
232,583851,Date of Birth,2/26/2006,2023-02-16
233,583851,Account Type,Gold,2023-02-16
234,436544,Ethnicity,Black,2023-02-11
235,436544,Date of Birth,4/10/2013,2023-02-11
236,436544,Account Type,Basic,2023-02-11
237,844387,Ethnicity,Asian,2023-02-02
238,844387,Date of Birth,1/17/1950,2023-02-02
239,844387,Account Type,Basic,2023-02-02
240,128220,Ethnicity,Other,2023-02-27
241,128220,Date of Birth,3/22/1947,2023-02-27
242,128220,Account Type,Basic,2023-02-27
243,737345,Ethnicity,Other,2023-02-14
244,737345,Date of Birth,1/27/1971,2023-02-14
245,737345,Account Type,Gold,2023-02-14
246,431391,Ethnicity,Other,2023-02-02
247,431391,Date of Birth,4/25/1980,2023-02-02
248,431391,Account Type,Basic,2023-02-02
249,375824,Ethnicity,Other,2023-02-10
250,375824,Date of Birth,7/5/1978,2023-02-10
251,375824,Account Type,Platinum,2023-02-10
252,247253,Ethnicity,Asian,2023-02-21
253,247253,Date of Birth,9/26/1987,2023-02-21
254,247253,Account Type,Gold,2023-02-21
0,373223,Ethnicity,Asian,2023-03-29
1,373223,Date of Birth,11/12/1985,2023-03-29
2,373223,Account Type,Basic,2023-03-29
3,805034,Ethnicity,Asian,2023-03-19
4,805034,Date of Birth,1/10/1968,2023-03-19
5,805034,Account Type,Platinum,2023-03-19
6,842913,Ethnicity,Other,2023-03-29
7,842913,Date of Birth,4/22/1945,2023-03-29
8,842913,Account Type,Gold,2023-03-29
9,755287,Ethnicity,Black,2023-03-24
10,755287,Date of Birth,8/27/1997,2023-03-24
11,755287,Account Type,Platinum,2023-03-24
12,700950,Ethnicity,Black,2023-03-10
13,700950,Date of Birth,6/18/1940,2023-03-10
14,700950,Account Type,Basic,2023-03-10
15,115702,Ethnicity,Black,2023-03-14
16,115702,Date of Birth,2/17/1977,2023-03-14
17,115702,Account Type,Platinum,2023-03-14
18,664810,Ethnicity,Black,2023-03-10
19,664810,Date of Birth,7/2/1947,2023-03-10
20,664810,Account Type,Gold,2023-03-10
21,698434,Ethnicity,Black,2023-03-11
22,698434,Date of Birth,12/23/1946,2023-03-11
23,698434,Account Type,Basic,2023-03-11
24,287144,Ethnicity,White,2023-03-23
25,287144,Date of Birth,9/25/1976,2023-03-23
26,287144,Account Type,Platinum,2023-03-23
27,980787,Ethnicity,Black,2023-03-13
28,980787,Date of Birth,2/18/1975,2023-03-13
29,980787,Account Type,Platinum,2023-03-13
30,487923,Ethnicity,White,2023-03-22
31,487923,Date of Birth,6/28/1990,2023-03-22
32,487923,Account Type,Platinum,2023-03-22
33,512194,Ethnicity,White,2023-03-13
34,512194,Date of Birth,4/9/1985,2023-03-13
35,512194,Account Type,Gold,2023-03-13
36,135265,Ethnicity,White,2023-03-28
37,135265,Date of Birth,2/9/1940,2023-03-28
38,135265,Account Type,Platinum,2023-03-28
39,762476,Ethnicity,Other,2023-03-23
40,762476,Date of Birth,6/3/1956,2023-03-23
41,762476,Account Type,Basic,2023-03-23
42,506007,Ethnicity,Asian,2023-03-23
43,506007,Date of Birth,12/1/1979,2023-03-23
44,506007,Account Type,Basic,2023-03-23
45,221229,Ethnicity,White,2023-03-13
46,221229,Date of Birth,2/26/1965,2023-03-13
47,221229,Account Type,Platinum,2023-03-13
48,650842,Ethnicity,Other,2023-03-28
49,650842,Date of Birth,6/6/1953,2023-03-28
50,650842,Account Type,Gold,2023-03-28
51,675810,Ethnicity,Other,2023-03-12
52,675810,Date of Birth,12/12/1968,2023-03-12
53,675810,Account Type,Gold,2023-03-12
54,989180,Ethnicity,White,2023-03-14
55,989180,Date of Birth,9/18/1953,2023-03-14
56,989180,Account Type,Gold,2023-03-14
57,250381,Ethnicity,Other,2023-03-26
58,250381,Date of Birth,5/18/1945,2023-03-26
59,250381,Account Type,Platinum,2023-03-26
60,548861,Ethnicity,Other,2023-03-24
61,548861,Date of Birth,5/3/1962,2023-03-24
62,548861,Account Type,Platinum,2023-03-24
63,184141,Ethnicity,Black,2023-03-22
64,184141,Date of Birth,3/18/1949,2023-03-22
65,184141,Account Type,Basic,2023-03-22
66,830235,Ethnicity,Black,2023-03-14
67,830235,Date of Birth,8/15/1947,2023-03-14
68,830235,Account Type,Gold,2023-03-14
69,664103,Ethnicity,Black,2023-03-23
70,664103,Date of Birth,6/29/2014,2023-03-23
71,664103,Account Type,Gold,2023-03-23
72,569706,Ethnicity,Asian,2023-03-18
73,569706,Date of Birth,5/16/2014,2023-03-18
74,569706,Account Type,Gold,2023-03-18
75,312371,Ethnicity,Asian,2023-03-17
76,312371,Date of Birth,6/28/2019,2023-03-17
77,312371,Account Type,Gold,2023-03-17
78,638704,Ethnicity,Other,2023-03-21
79,638704,Date of Birth,4/6/1946,2023-03-21
80,638704,Account Type,Gold,2023-03-21
81,248371,Ethnicity,Asian,2023-03-01
82,248371,Date of Birth,12/30/1979,2023-03-01
83,248371,Account Type,Gold,2023-03-01
84,415677,Ethnicity,Black,2023-03-11
85,415677,Date of Birth,3/31/2008,2023-03-11
86,415677,Account Type,Basic,2023-03-11
87,982951,Ethnicity,Black,2023-03-03
88,982951,Date of Birth,3/6/1982,2023-03-03
89,982951,Account Type,Platinum,2023-03-03
90,994016,Ethnicity,Other,2023-03-29
91,994016,Date of Birth,3/29/1955,2023-03-29
92,994016,Account Type,Platinum,2023-03-29
93,895152,Ethnicity,Asian,2023-03-28
94,895152,Date of Birth,8/4/1941,2023-03-28
95,895152,Account Type,Basic,2023-03-28
96,255988,Ethnicity,Asian,2023-03-24
97,255988,Date of Birth,6/7/2017,2023-03-24
98,255988,Account Type,Basic,2023-03-24
99,838073,Ethnicity,Asian,2023-03-26
